title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"The Nightmare Before Christmas";1993;http://www.icheckmovies.com/movies/the+nightmare+before+christmas/;63313;4569;12;353;;http://www.imdb.com/title/tt0107688/;"2014-04-23 22:15:01";no;no;no;no
Hugo;2011;http://www.icheckmovies.com/movies/hugo/;24228;1637;5;368;;http://www.imdb.com/title/tt0970179/;"2014-04-23 22:14:54";no;no;no;no
"Låt den rätte komma in";2008;http://www.icheckmovies.com/movies/lat+den+ratte+komma+in/;26288;3262;12;417;"Let the Right One In";http://www.imdb.com/title/tt1139797/;"2014-04-23 22:14:51";no;no;no;no
"The Blues Brothers";1980;http://www.icheckmovies.com/movies/the+blues+brothers/;32221;2090;5;262;;http://www.imdb.com/title/tt0080455/;"2014-04-23 22:14:49";no;no;no;no
Argo;2012;http://www.icheckmovies.com/movies/argo-2012/;23906;1368;6;288;;http://www.imdb.com/title/tt1024648/;"2014-04-23 22:14:32";no;no;no;no
50/50;2011;http://www.icheckmovies.com/movies/50slash50/;23217;1781;0;225;;http://www.imdb.com/title/tt1306980/;"2014-04-23 22:14:26";no;no;no;no
"Mulholland Dr.";2001;http://www.icheckmovies.com/movies/mulholland+dr./;29873;3738;19;612;"Mulholland Drive";http://www.imdb.com/title/tt0166924/;"2014-04-23 22:14:23";no;no;no;no
"The Wrestler";2008;http://www.icheckmovies.com/movies/the+wrestler/;36578;2404;6;284;;http://www.imdb.com/title/tt1125849/;"2014-04-23 22:14:21";no;no;no;no
Looper;2012;http://www.icheckmovies.com/movies/looper/;23596;1479;1;251;;http://www.imdb.com/title/tt1276104/;"2014-04-23 22:13:52";no;no;no;no
"Up in the Air";2009;http://www.icheckmovies.com/movies/up+in+the+air/;28528;1585;3;203;;http://www.imdb.com/title/tt1193138/;"2014-04-23 22:13:49";no;no;no;no
"The Fifth Element";1997;http://www.icheckmovies.com/movies/the+fifth+element/;52762;4031;6;248;;http://www.imdb.com/title/tt0119116/;"2014-04-23 22:13:45";no;no;no;no
Watchmen;2009;http://www.icheckmovies.com/movies/watchmen/;41488;2955;2;250;;http://www.imdb.com/title/tt0409459/;"2014-04-23 22:13:33";no;no;no;no
"Catch Me If You Can";2002;http://www.icheckmovies.com/movies/catch+me+if+you+can/;64621;4457;6;284;;http://www.imdb.com/title/tt0264464/;"2014-04-23 22:13:19";no;no;no;no
"The Incredibles";2004;http://www.icheckmovies.com/movies/the+incredibles/;94243;4051;10;391;;http://www.imdb.com/title/tt0317705/;"2014-04-23 22:13:07";no;no;no;no
"Boogie Nights";1997;http://www.icheckmovies.com/movies/boogie+nights/;21699;1862;7;341;;http://www.imdb.com/title/tt0118749/;"2014-04-23 22:13:03";no;no;no;no
Psycho;1960;http://www.icheckmovies.com/movies/psycho/;56832;5012;31;913;;http://www.imdb.com/title/tt0054215/;"2014-04-23 22:12:58";no;no;no;no
