title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
Zoolander;2001;http://www.icheckmovies.com/movies/zoolander/;31061;1343;3;145;;http://www.imdb.com/title/tt0196229/;"2014-04-23 23:52:13";no;no;yes;no
"Close Encounters of the Third Kind";1977;http://www.icheckmovies.com/movies/close+encounters+of+the+third+kind/;27243;1308;19;363;;http://www.imdb.com/title/tt0075860/;"2014-04-23 23:52:11";no;no;no;no
Predator;1987;http://www.icheckmovies.com/movies/predator/;27659;1349;5;228;;http://www.imdb.com/title/tt0093773/;"2014-04-23 23:52:10";no;no;yes;no
"Dark City";1998;http://www.icheckmovies.com/movies/dark+city/;14226;1324;3;203;;http://www.imdb.com/title/tt0118929/;"2014-04-23 23:51:44";no;no;no;no
"Charlie and the Chocolate Factory";2005;http://www.icheckmovies.com/movies/charlie+and+the+chocolate+factory/;67034;1317;2;176;;http://www.imdb.com/title/tt0367594/;"2014-04-23 23:51:42";no;no;no;no
Sunshine;2007;http://www.icheckmovies.com/movies/sunshine/;17554;1332;1;178;;http://www.imdb.com/title/tt0448134/;"2014-04-23 23:51:24";no;no;yes;no
"Total Recall";1990;http://www.icheckmovies.com/movies/total+recall/;30461;1403;7;225;;http://www.imdb.com/title/tt0100802/;"2014-04-23 23:51:22";no;no;yes;no
Unbreakable;2000;http://www.icheckmovies.com/movies/unbreakable/;30927;1396;4;148;;http://www.imdb.com/title/tt0217869/;"2014-04-23 23:51:05";no;no;no;no
"The Birds";1963;http://www.icheckmovies.com/movies/the+birds/;31015;1460;15;417;;http://www.imdb.com/title/tt0056869/;"2014-04-23 23:51:02";no;no;no;no
"The Cabin in the Woods";2012;http://www.icheckmovies.com/movies/the+cabin+in+the+woods/;21487;1626;3;316;;http://www.imdb.com/title/tt1259521/;"2014-04-23 23:51:02";no;no;no;no
Skyfall;2012;http://www.icheckmovies.com/movies/skyfall/;29278;1577;4;351;;http://www.imdb.com/title/tt1074638/;"2014-04-23 23:50:55";no;no;no;no
"The Last Samurai";2003;http://www.icheckmovies.com/movies/the+last+samurai/;38880;1468;2;156;;http://www.imdb.com/title/tt0325710/;"2014-04-23 23:50:46";no;no;no;no
"Napoleon Dynamite";2004;http://www.icheckmovies.com/movies/napoleon+dynamite/;31578;1470;2;151;;http://www.imdb.com/title/tt0374900/;"2014-04-23 23:50:40";no;no;no;no
Gravity;2013;http://www.icheckmovies.com/movies/gravity-2013/;23070;1829;11;396;;http://www.imdb.com/title/tt1454468/;"2014-04-23 23:49:55";no;no;no;no
Hook;1991;http://www.icheckmovies.com/movies/hook/;40083;1481;2;130;;http://www.imdb.com/title/tt0102057/;"2014-04-23 23:49:53";no;no;no;no
"Eyes Wide Shut";1999;http://www.icheckmovies.com/movies/eyes+wide+shut/;22920;1604;10;329;;http://www.imdb.com/title/tt0120663/;"2014-04-23 23:49:26";no;no;no;no
Saw;2004;http://www.icheckmovies.com/movies/saw/;45508;1579;6;199;;http://www.imdb.com/title/tt0387564/;"2014-04-23 23:49:07";no;no;no;no
Chicago;2002;http://www.icheckmovies.com/movies/chicago/;33735;1615;8;233;;http://www.imdb.com/title/tt0299658/;"2014-04-23 23:49:01";no;no;no;no
"Independence Day";1996;http://www.icheckmovies.com/movies/independence+day/;63808;1626;7;194;;http://www.imdb.com/title/tt0116629/;"2014-04-23 23:48:59";no;no;no;no
"10 Things I Hate About You";1999;http://www.icheckmovies.com/movies/10+things+i+hate+about+you/;25120;1651;1;148;;http://www.imdb.com/title/tt0147800/;"2014-04-23 23:48:47";no;no;no;no
"Gangs of New York";2002;http://www.icheckmovies.com/movies/gangs+of+new+york/;36021;1689;4;276;;http://www.imdb.com/title/tt0217505/;"2014-04-23 23:48:38";no;no;no;no
"Thank You for Smoking";2005;http://www.icheckmovies.com/movies/thank+you+for+smoking/;23981;1638;1;143;;http://www.imdb.com/title/tt0427944/;"2014-04-23 23:48:37";no;no;yes;no
"The Others";2001;http://www.icheckmovies.com/movies/the+others/;35495;1704;6;203;;http://www.imdb.com/title/tt0230600/;"2014-04-23 23:48:36";no;no;no;no
"Dumb & Dumber";1994;http://www.icheckmovies.com/movies/dumb+and+dumber/;54633;1695;5;164;"Dumb Happens";http://www.imdb.com/title/tt0109686/;"2014-04-23 23:48:35";no;no;no;no
"The Bourne Supremacy";2004;http://www.icheckmovies.com/movies/the+bourne+supremacy/;48962;1675;6;202;;http://www.imdb.com/title/tt0372183/;"2014-04-23 23:48:34";no;no;no;no
"I Am Legend";2007;http://www.icheckmovies.com/movies/i+am+legend/;61407;1769;2;178;;http://www.imdb.com/title/tt0480249/;"2014-04-23 23:48:26";no;no;no;no
"Indiana Jones and the Temple of Doom";1984;http://www.icheckmovies.com/movies/indiana+jones+and+the+temple+of+doom/;52069;1781;7;266;;http://www.imdb.com/title/tt0087469/;"2014-04-23 23:48:24";no;no;no;no
"Artificial Intelligence: AI";2001;http://www.icheckmovies.com/movies/artificial+intelligence+ai/;43064;1762;10;253;;http://www.imdb.com/title/tt0212720/;"2014-04-23 23:48:22";no;no;no;no
"Star Wars: Episode III - Revenge of the Sith";2005;http://www.icheckmovies.com/movies/star+wars+episode+iii+-+revenge+of+the+sith/;58978;1774;4;295;;http://www.imdb.com/title/tt0121766/;"2014-04-23 23:48:15";no;no;no;no
"Der Untergang";2004;http://www.icheckmovies.com/movies/der+untergang/;27000;1796;13;299;Downfall;http://www.imdb.com/title/tt0363163/;"2014-04-23 23:47:45";no;no;yes;no
"Sleepy Hollow";1999;http://www.icheckmovies.com/movies/sleepy+hollow/;40189;1753;3;194;;http://www.imdb.com/title/tt0162661/;"2014-04-23 23:47:39";no;no;no;no
Platoon;1986;http://www.icheckmovies.com/movies/platoon/;36172;1836;17;383;;http://www.imdb.com/title/tt0091763/;"2014-04-23 23:47:32";no;no;no;no
Jumanji;1995;http://www.icheckmovies.com/movies/jumanji/;61570;1887;2;116;;http://www.imdb.com/title/tt0113497/;"2014-04-23 23:47:29";no;no;no;no
Atonement;2007;http://www.icheckmovies.com/movies/atonement/;22052;1839;6;222;;http://www.imdb.com/title/tt0783233/;"2014-04-23 23:47:25";no;no;no;no
"Men in Black";1997;http://www.icheckmovies.com/movies/men+in+black/;73599;1922;6;207;;http://www.imdb.com/title/tt0119654/;"2014-04-23 23:47:25";no;no;no;no
"The Hurt Locker";2008;http://www.icheckmovies.com/movies/the+hurt+locker/;36356;1880;10;338;;http://www.imdb.com/title/tt0887912/;"2014-04-23 23:47:23";no;no;no;no
Zodiac;2007;http://www.icheckmovies.com/movies/zodiac/;32466;2021;8;324;;http://www.imdb.com/title/tt0443706/;"2014-04-23 23:46:51";no;no;no;no
"High Fidelity";2000;http://www.icheckmovies.com/movies/high+fidelity/;19952;1887;3;189;;http://www.imdb.com/title/tt0146882/;"2014-04-23 23:46:44";no;no;no;no
"This Is Spinal Tap";1984;http://www.icheckmovies.com/movies/this+is+spinal+tap/;25355;1990;17;335;;http://www.imdb.com/title/tt0088258/;"2014-04-23 23:46:34";no;no;no;no
