title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
Her;2013;http://www.icheckmovies.com/movies/her-2013/;16651;2221;7;377;;http://www.imdb.com/title/tt1798709/;"2014-03-04 01:26:35";no;no;no;no
"The Cabin in the Woods";2012;http://www.icheckmovies.com/movies/the+cabin+in+the+woods/;21487;1626;3;316;;http://www.imdb.com/title/tt1259521/;"2014-01-04 14:57:43";no;no;no;no
"Django Unchained";2012;http://www.icheckmovies.com/movies/django+unchained/;40700;4559;10;573;;http://www.imdb.com/title/tt1853728/;"2014-01-04 14:57:17";no;no;no;no
Léon;1994;http://www.icheckmovies.com/movies/leon/;56251;6885;18;458;"The Professional";http://www.imdb.com/title/tt0110413/;"2014-01-04 14:56:42";no;no;no;no
"Kings of Pastry";2009;http://www.icheckmovies.com/movies/kings+of+pastry/;140;4;0;7;;http://www.imdb.com/title/tt1558972/;"2013-08-26 15:02:49";no;no;no;no
"Craigslist Joe";2012;http://www.icheckmovies.com/movies/craigslist+joe/;330;14;0;10;;http://www.imdb.com/title/tt1486616/;"2013-08-26 15:02:38";no;no;no;no
"Jiro Dreams of Sushi";2011;http://www.icheckmovies.com/movies/jiro+dreams+of+sushi/;2840;316;0;91;;http://www.imdb.com/title/tt1772925/;"2013-08-26 15:02:27";no;no;no;no
Tyrannosaur;2011;http://www.icheckmovies.com/movies/tyrannosaur/;1797;189;0;84;;http://www.imdb.com/title/tt1204340/;"2013-08-14 21:34:52";no;no;no;no
Brave;2012;http://www.icheckmovies.com/movies/brave-2012/;20766;853;1;233;;http://www.imdb.com/title/tt1217209/;"2013-08-10 23:45:20";no;no;no;no
Dredd;2012;http://www.icheckmovies.com/movies/dredd/;8693;488;0;133;;http://www.imdb.com/title/tt1343727/;"2013-08-10 23:44:52";no;no;no;no
"Where the Wild Things Are";2009;http://www.icheckmovies.com/movies/where+the+wild+things+are/;14034;963;1;158;;http://www.imdb.com/title/tt0386117/;"2013-08-10 23:44:39";no;no;no;no
"The Dark Knight Rises";2012;http://www.icheckmovies.com/movies/the+dark+knight+rises/;50140;3846;9;485;;http://www.imdb.com/title/tt1345836/;"2013-08-10 23:40:16";no;no;no;no
Adaptation.;2002;http://www.icheckmovies.com/movies/adaptation./;21305;2069;8;337;;http://www.imdb.com/title/tt0268126/;"2013-08-10 23:40:01";no;no;no;no
"Rachel Getting Married";2008;http://www.icheckmovies.com/movies/rachel+getting+married/;6320;299;1;89;;http://www.imdb.com/title/tt1084950/;"2013-06-15 14:30:39";no;no;no;no
"Into the Wild";2007;http://www.icheckmovies.com/movies/into+the+wild/;49566;5579;10;397;;http://www.imdb.com/title/tt0758758/;"2013-05-13 01:37:40";no;no;no;no
"Real Steel";2011;http://www.icheckmovies.com/movies/real+steel/;9877;408;1;117;;http://www.imdb.com/title/tt0433035/;"2013-05-12 23:25:34";no;no;no;no
"Dan in Real Life";2007;http://www.icheckmovies.com/movies/dan+in+real+life/;5550;183;0;46;;http://www.imdb.com/title/tt0480242/;"2013-05-12 23:25:26";no;no;no;no
Rushmore;1998;http://www.icheckmovies.com/movies/rushmore/;21308;2199;10;314;;http://www.imdb.com/title/tt0128445/;"2013-04-28 12:03:53";no;no;no;no
"Silver Linings Playbook";2012;http://www.icheckmovies.com/movies/silver+linings+playbook/;26059;2143;3;349;;http://www.imdb.com/title/tt1045658/;"2013-04-25 19:02:17";no;no;no;no
"The Manchurian Candidate";1962;http://www.icheckmovies.com/movies/the+manchurian+candidate/;13111;733;16;260;;http://www.imdb.com/title/tt0056218/;"2013-04-25 19:00:34";no;no;no;no
"The Life Aquatic with Steve Zissou";2004;http://www.icheckmovies.com/movies/the+life+aquatic+with+steve+zissou/;19279;1870;3;222;;http://www.imdb.com/title/tt0362270/;"2013-04-25 10:19:18";no;no;no;no
"Whip It";2009;http://www.icheckmovies.com/movies/whip+it/;6848;424;0;74;;http://www.imdb.com/title/tt1172233/;"2013-04-09 17:01:25";no;no;no;no
"Dawn of the Dead";1978;http://www.icheckmovies.com/movies/dawn+of+the+dead/;24750;1362;15;382;"Dawn of the Living Dead";http://www.imdb.com/title/tt0077402/;"2013-04-07 11:03:51";no;no;no;no
"Punch-Drunk Love";2002;http://www.icheckmovies.com/movies/punch-drunk+love/;17566;1389;7;253;;http://www.imdb.com/title/tt0272338/;"2013-04-07 11:03:43";no;no;no;no
"Close Encounters of the Third Kind";1977;http://www.icheckmovies.com/movies/close+encounters+of+the+third+kind/;27243;1308;19;363;;http://www.imdb.com/title/tt0075860/;"2013-04-07 11:03:13";no;no;no;no
"Master and Commander: The Far Side of the World";2003;http://www.icheckmovies.com/movies/master+and+commander+the+far+side+of+the+world/;23046;954;6;179;;http://www.imdb.com/title/tt0311113/;"2013-04-07 11:03:09";no;no;no;no
"Planet of the Apes";1968;http://www.icheckmovies.com/movies/planet+of+the+apes/;32966;1412;15;313;"Monkey Planet";http://www.imdb.com/title/tt0063442/;"2013-04-07 11:03:07";no;no;no;no
RoboCop;1987;http://www.icheckmovies.com/movies/robocop/;30041;1152;12;278;;http://www.imdb.com/title/tt0093870/;"2013-04-07 11:03:05";no;no;no;no
"Lucky Number Slevin";2006;http://www.icheckmovies.com/movies/lucky+number+slevin/;17459;1276;0;114;;http://www.imdb.com/title/tt0425210/;"2013-04-07 11:03:03";no;no;no;no
"Synecdoche, New York";2008;http://www.icheckmovies.com/movies/synecdoche+new+york/;10028;1249;6;238;;http://www.imdb.com/title/tt0383028/;"2013-04-07 11:02:58";no;no;no;no
"Gangs of New York";2002;http://www.icheckmovies.com/movies/gangs+of+new+york/;36021;1689;4;276;;http://www.imdb.com/title/tt0217505/;"2013-04-07 11:02:17";no;no;no;no
Primer;2004;http://www.icheckmovies.com/movies/primer/;12768;1208;5;179;;http://www.imdb.com/title/tt0390384/;"2013-04-07 11:02:11";no;no;no;no
"A Dangerous Method";2011;http://www.icheckmovies.com/movies/a+dangerous+method/;5633;163;1;120;;http://www.imdb.com/title/tt1571222/;"2013-04-07 11:00:57";no;no;no;no
"Chicken Little";2005;http://www.icheckmovies.com/movies/chicken+little/;27603;184;1;65;;http://www.imdb.com/title/tt0371606/;"2013-04-07 00:58:28";no;no;no;no
"Ocean's Thirteen";2007;http://www.icheckmovies.com/movies/oceans+thirteen/;39231;716;1;126;;http://www.imdb.com/title/tt0496806/;"2013-04-07 00:58:21";no;no;no;no
"Batman Forever";1995;http://www.icheckmovies.com/movies/batman+forever/;38212;302;2;137;;http://www.imdb.com/title/tt0112462/;"2013-04-07 00:57:58";no;no;no;no
"How the Grinch Stole Christmas";2000;http://www.icheckmovies.com/movies/how+the+grinch+stole+christmas/;44501;582;2;117;;http://www.imdb.com/title/tt0170016/;"2013-04-07 00:57:54";no;no;no;no
"The Karate Kid";2010;http://www.icheckmovies.com/movies/the+karate+kid-2010-1/;22823;329;1;73;;http://www.imdb.com/title/tt1155076/;"2013-04-07 00:57:44";no;no;no;no
"Top Gun";1986;http://www.icheckmovies.com/movies/top+gun/;39320;793;5;222;;http://www.imdb.com/title/tt0092099/;"2013-04-07 00:57:43";no;no;no;no
"Tomorrow Never Dies";1997;http://www.icheckmovies.com/movies/tomorrow+never+dies/;31456;233;1;94;;http://www.imdb.com/title/tt0120347/;"2013-04-07 00:57:41";no;no;no;no
Hannibal;2001;http://www.icheckmovies.com/movies/hannibal/;33156;750;1;114;;http://www.imdb.com/title/tt0212985/;"2013-04-07 00:57:38";no;no;no;no
GoldenEye;1995;http://www.icheckmovies.com/movies/goldeneye/;35439;811;2;126;;http://www.imdb.com/title/tt0113189/;"2013-04-07 00:57:35";no;no;no;no
"The World Is Not Enough";1999;http://www.icheckmovies.com/movies/the+world+is+not+enough/;29655;225;1;93;;http://www.imdb.com/title/tt0143145/;"2013-04-07 00:57:34";no;no;no;no
"My Big Fat Greek Wedding";2002;http://www.icheckmovies.com/movies/my+big+fat+greek+wedding/;30966;585;1;75;;http://www.imdb.com/title/tt0259446/;"2013-04-07 00:57:32";no;no;no;no
"Planet of the Apes";2001;http://www.icheckmovies.com/movies/planet+of+the+apes-2001-1/;32016;202;1;97;;http://www.imdb.com/title/tt0133152/;"2013-04-07 00:57:29";no;no;no;no
"Fast & Furious";2009;http://www.icheckmovies.com/movies/fast+and+furious/;32616;352;1;74;;http://www.imdb.com/title/tt1013752/;"2013-04-07 00:57:27";no;no;no;no
"X-Men Origins: Wolverine";2009;http://www.icheckmovies.com/movies/x-men+origins+wolverine/;40860;773;1;174;;http://www.imdb.com/title/tt0458525/;"2013-04-07 00:57:12";no;no;no;no
"The Mummy: Tomb of the Dragon Emperor";2008;http://www.icheckmovies.com/movies/the+mummy+tomb+of+the+dragon+emperor/;20551;94;1;60;;http://www.imdb.com/title/tt0859163/;"2013-04-07 00:57:05";no;no;no;no
"Superman Returns";2006;http://www.icheckmovies.com/movies/superman+returns/;29039;197;2;118;;http://www.imdb.com/title/tt0348150/;"2013-04-07 00:57:04";no;no;no;no
"Robin Hood: Prince of Thieves";1991;http://www.icheckmovies.com/movies/robin+hood+prince+of+thieves/;24872;471;2;75;;http://www.imdb.com/title/tt0102798/;"2013-04-07 00:57:02";no;no;no;no
"TRON: Legacy";2010;http://www.icheckmovies.com/movies/tron+legacy/;26749;919;1;130;;http://www.imdb.com/title/tt1104001/;"2013-04-07 00:57:00";no;no;no;no
"The Bodyguard";1992;http://www.icheckmovies.com/movies/the+bodyguard/;20513;222;1;64;;http://www.imdb.com/title/tt0103855/;"2013-04-07 00:56:53";no;no;no;no
"Night at the Museum: Battle of the Smithsonian";2009;http://www.icheckmovies.com/movies/night+at+the+museum+battle+of+the+smithsonian/;23706;169;1;85;"Night at the Museum 2";http://www.imdb.com/title/tt1078912/;"2013-04-07 00:56:49";no;no;no;no
"The Chronicles of Narnia: The Voyage of the Dawn Treader";2010;http://www.icheckmovies.com/movies/the+chronicles+of+narnia+the+voyage+of+the+dawn+treader/;14035;209;1;82;;http://www.imdb.com/title/tt0980970/;"2013-04-07 00:56:48";no;no;no;no
"Die Another Day";2002;http://www.icheckmovies.com/movies/die+another+day/;37245;211;1;110;;http://www.imdb.com/title/tt0246460/;"2013-04-07 00:56:43";no;no;no;no
Thor;2011;http://www.icheckmovies.com/movies/thor/;34405;1092;1;251;;http://www.imdb.com/title/tt0800369/;"2013-04-07 00:56:39";no;no;no;no
